E L0 L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L13 L14 L15 L16
4000000 0.15571 0 0.23638 0 0.35942 0 0.18330 0 0.04900 0 0.01163 0 0.00270 0 0.00180 0 0.00006
4250000 0.15141 0 0.23216 0 0.35439 0 0.19061 0 0.05300 0 0.01291 0 0.00314 0 0.00230 0 0.00008
4500000 0.14787 0 0.22837 0 0.34902 0 0.19740 0 0.05663 0 0.01420 0 0.00360 0 0.00280 0 0.00010
4750000 0.14502 0 0.22526 0 0.34385 0 0.20319 0 0.05992 0 0.01531 0 0.00404 0 0.00327 0 0.00013
5000000 0.14254 0 0.22239 0 0.33827 0 0.2090 0 0.06292 0 0.01650 0 0.00451 0 0.00371 0 0.00016
5500000 0.13850 0 0.21740 0 0.32737 0 0.21910 0 0.06856 0 0.01895 0 0.00538 0 0.00447 0 0.00027
6000000 0.13536 0 0.21321 0 0.31644 0 0.22784 0 0.07382 0 0.02145 0 0.00619 0 0.00517 0 0.00052
6500000 0.13253 0 0.20952 0 0.30562 0 0.23572 0 0.07900 0 0.02373 0 0.00697 0 0.00575 0 0.00116
7000000 0.12998 0 0.20638 0 0.29473 0 0.24233 0 0.08407 0 0.02614 0 0.00778 0 0.00632 0 0.00227
7500000 0.12752 0 0.20362 0 0.28424 0 0.24817 0 0.08913 0 0.02855 0 0.00860 0 0.00680 0 0.00337
8000000 0.12524 0 0.20100 0 0.27460 0 0.25350 0 0.09400 0 0.03081 0 0.00938 0 0.00722 0 0.00425
8500000 0.12314 0 0.19868 0 0.26531 0 0.25840 0 0.09860 0 0.03314 0 0.01017 0 0.00757 0 0.00499
9000000 0.12106 0 0.19630 0 0.25680 0 0.26279 0 0.10301 0 0.03554 0 0.01100 0 0.00792 0 0.00558
9500000 0.11933 0 0.19447 0 0.24842 0 0.26683 0 0.10722 0 0.03791 0 0.01174 0 0.00817 0 0.00591
10000000 0.11750 0 0.19240 0 0.24100 0 0.27009 0 0.11150 0 0.04040 0 0.01250 0 0.00840 0 0.00620
11000000 0.11380 0 0.18830 0 0.22870 0 0.27500 0 0.11950 0 0.04540 0 0.01410 0 0.00890 0 0.00630
12000000 0.11048 0 0.18457 0 0.21989 0 0.27870 0 0.12547 0 0.04982 0 0.01567 0 0.00942 0 0.00598
13000000 0.10714 0 0.18176 0 0.21147 0 0.28097 0 0.13177 0 0.05440 0 0.01735 0 0.00975 0 0.00539
14000000 0.10417 0 0.17842 0 0.20462 0 0.28233 0 0.13800 0 0.05841 0 0.01894 0 0.01021 0 0.00490
15000000 0.10090 0 0.17540 0 0.19890 0 0.28260 0 0.14370 0 0.06270 0 0.02080 0 0.01060 0 0.00440
16000000 0.09789 0 0.17212 0 0.19276 0 0.28232 0 0.15003 0 0.06709 0 0.02279 0 0.01101 0 0.00399
17000000 0.09522 0 0.16962 0 0.18744 0 0.28104 0 0.15595 0 0.07090 0 0.02489 0 0.01129 0 0.00365
18000000 0.09244 0 0.16691 0 0.18201 0 0.27909 0 0.16229 0 0.07518 0 0.02721 0 0.01156 0 0.00332
19000000 0.08962 0 0.16408 0 0.17670 0 0.27681 0 0.16837 0 0.07978 0 0.02974 0 0.01187 0 0.00303
20000000 0.08704 0 0.16210 0 0.17259 0 0.27436 0 0.17296 0 0.08369 0 0.03236 0 0.01213 0 0.00277
